Date,AAPL,GOOG,MSFT,AMZN,FB
2014-12-31,101.41905975341797,524.958740234375,41.70087432861328,310.3500061035156,78.0199966430664
2015-01-02,100.45429992675781,523.3731079101562,41.979183197021484,308.5199890136719,78.44999694824219
2015-01-05,97.62433624267578,512.4630126953125,41.593143463134766,302.19000244140625,77.19000244140625
2015-01-06,97.633544921875,500.58563232421875,40.98268127441406,295.2900085449219,76.1500015258789
2015-01-07,99.00255584716797,499.7279968261719,41.503379821777344,298.4200134277344,76.1500015258789
2015-01-08,102.80648040771484,501.3036804199219,42.72432327270508,300.4599914550781,78.18000030517578
2015-01-09,102.9167251586914,494.8114929199219,42.36521911621094,296.92999267578125,77.73999786376953
2015-01-12,100.38079071044922,491.201416015625,41.83553695678711,291.4100036621094,76.72000122070312
2015-01-13,101.27204895019531,494.82147216796875,41.62008285522461,294.739990234375,76.44999694824219
2015-01-14,100.88615417480469,499.4986267089844,41.26097869873047,293.2699890136719,76.27999877929688
2015-01-15,98.14805603027344,500.4161071777344,40.830055236816406,286.95001220703125,74.05000305175781
2015-01-16,97.38544464111328,506.6888732910156,41.512351989746094,290.739990234375,75.18000030517578
2015-01-20,99.8938217163086,505.5121154785156,41.64701461791992,289.44000244140625,76.23999786376953
2015-01-21,100.65644073486328,516.6216430664062,41.22507095336914,297.25,76.73999786376953
2015-01-22,103.27506256103516,532.9268188476562,42.31135559082031,310.32000732421875,77.6500015258789
2015-01-23,103.80799102783203,538.4716186523438,42.35624313354492,312.3900146484375,77.83000183105469
2015-01-26,103.91822814941406,533.74462890625,42.2036247253418,309.6600036621094,77.5
2015-01-27,100.27971649169922,517.2100219726562,38.298370361328125,306.75,75.77999877929688
2015-01-28,105.94882202148438,508.6036376953125,36.978668212890625,303.9100036621094,76.23999786376953
2015-01-29,109.24739074707031,509.2618103027344,37.71482849121094,311.7799987792969,78.0
2015-01-30,107.64864349365234,533.0565185546875,36.26944351196289,354.5299987792969,75.91000366210938
2015-02-02,108.99929809570312,527.0330200195312,37.05946731567383,364.4700012207031,74.98999786376953
2015-02-03,109.01765441894531,527.7909545898438,37.34675598144531,363.54998779296875,75.4000015258789
2015-02-04,109.85380554199219,521.3286743164062,37.562217712402344,364.75,75.62999725341797
2015-02-05,110.63788604736328,526.135498046875,38.10984802246094,373.8900146484375,75.61000061035156
2015-02-06,109.7061996459961,529.546142578125,38.07393264770508,374.2799987792969,74.47000122070312
2015-02-09,110.43494415283203,526.3848266601562,38.029052734375,370.55999755859375,74.44000244140625
2015-02-10,112.55655670166016,535.4698486328125,38.244510650634766,373.0,75.19000244140625
2015-02-11,115.19474792480469,534.5025024414062,38.0470085144043,375.1400146484375,76.51000213623047
2015-02-12,116.6521987915039,541.4434814453125,38.68440628051758,377.1700134277344,76.2300033569336
2015-02-13,117.22412109375,547.5068359375,39.384666442871094,381.8299865722656,75.73999786376953
2015-02-17,117.91596221923828,541.3536987304688,39.40274429321289,375.42999267578125,75.5999984741211
2015-02-18,118.73694610595703,538.2222900390625,39.357540130615234,373.3699951171875,76.70999908447266
2015-02-19,118.48786926269531,541.3836059570312,39.33041000366211,379.0,79.41999816894531
2015-02-20,119.4564437866211,537.474365234375,39.65591049194336,383.6600036621094,79.9000015258789
2015-02-23,122.68497467041016,530.45361328125,39.918113708496094,380.1400146484375,78.83999633789062
2015-02-24,121.91935729980469,534.6221923828125,39.86386489868164,378.5899963378906,78.44999694824219
2015-02-25,118.8014907836914,542.3809204101562,39.7734375,385.3699951171875,79.55999755859375
2015-02-26,120.30508422851562,553.9591064453125,39.83674240112305,384.79998779296875,80.41000366210938
2015-02-27,118.49711608886719,556.87109375,39.6468620300293,380.1600036621094,78.97000122070312
2015-03-02,119.07823944091797,569.7756958007812,39.673988342285156,385.6600036621094,79.75
2015-03-03,119.3272933959961,572.0693969726562,39.13150405883789,384.6099853515625,79.5999984741211
2015-03-04,118.57088470458984,571.8001098632812,38.932586669921875,382.7200012207031,80.9000015258789
2015-03-05,116.60609436035156,573.7547607421875,38.97779846191406,387.8299865722656,81.20999908447266
2015-03-06,116.7813491821289,566.1306762695312,38.29969024658203,380.0899963378906,80.01000213623047
2015-03-09,117.27945709228516,567.29248046875,38.742733001708984,378.55999755859375,79.44000244140625
2015-03-10,114.85343170166016,553.4904174804688,38.00131607055664,369.510009765625,77.55000305175781
2015-03-11,112.75951385498047,549.6708984375,37.956111907958984,366.3699951171875,77.56999969482422
2015-03-12,114.79810333251953,553.989013671875,37.088134765625,374.239990234375,78.93000030517578
2015-03-13,114.00479125976562,545.8214721679688,37.41361999511719,370.5799865722656,78.05000305175781
2015-03-16,115.25931549072266,552.9917602539062,37.57637023925781,373.3500061035156,78.06999969482422
2015-03-17,117.1872329711914,549.331787109375,37.70295715332031,371.9200134277344,79.36000061035156
2015-03-18,118.50630950927734,557.9680786132812,38.42626953125,375.1400146484375,80.91000366210938
2015-03-19,117.61156463623047,556.4622192382812,38.236392974853516,373.239990234375,82.75
2015-03-20,116.13565063476562,558.8257446289062,38.769840240478516,378.489990234375,83.80000305175781
2015-03-23,117.34403228759766,557.2799682617188,38.751766204833984,375.1099853515625,84.43000030517578
2015-03-24,116.86436462402344,568.6288452148438,38.787933349609375,374.0899963378906,85.30999755859375
2015-03-25,113.81109619140625,557.2550659179688,37.4859619140625,370.9599914550781,82.91999816894531
2015-03-26,114.6043930053711,553.6499633789062,37.25991439819336,367.3500061035156,83.01000213623047
2015-03-27,113.69116973876953,546.8386840820312,37.04292297363281,370.55999755859375,83.30000305175781
